,TenBaiHat,TacGia,TheLoai,,
453,Tổ Quốc Gọi Tên Mình,Đàm Vĩnh Hưng,1,,
454,Mùa Xuân Âm Vang Thần Tốc,Tốp Ca,1,,
455,Vững Bước Dưới Cờ Đảng,CLB Ngôi Sao Trẻ,1,,
456,Đất Nước Tôi Hôm Nay,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
457,Tình Trong Lá Thiếp,"Huỳnh Chín, Thu Hiền (NSND)",1,,
458,Quê Hương Tôi Bà Rịa Vũng Tàu,Nguyễn Tuấn,1,,
459,Thành Phố Xanh Sạch Đẹp,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
460,Bản Tình Ca Cao Nguyên,Tiến Lâm,1,,
461,Đất Nước Trọn Niềm Vui,V.A,1,,
462,"Chào Đại Thắng Mùa Xuân, Chào Việt Nam Vinh Quang",CLB Giai Điệu Trẻ TP Cần Thơ,1,,
463,Tàu Anh Qua Núi (Cover),Nguyễn Phương Hằng,1,,
464,Đất Thiêng,Vũ Thắng Lợi,1,,
465,Khúc Quân Hành Ngành Y Chống Dịch,"Xuân Hảo, Tốp Ca",1,,
466,Đồng Đội Ơi,Lê Trung Hiền,1,,
467,Tiếng Hát Giữa Rừng Pác Bó,"Đặng Hồng Nhung, Ngọc Mai",1,,
468,Đảng Đã Cho Ta Một Mùa Xuân,V.A,1,,
469,Vì Tổ Quốc Việt Nam Thiêng Liêng,Bằng Cường,1,,
470,Bác Hồ Một Tình Yêu Bao La,Hà Chi,1,,
471,Nhạc Rừng,Khánh Linh,1,,
472,Nổi Lửa Lên Em (Live),Thanh Hằng,1,,
473,LK Giai Điệu Tổ Quốc,V.A,1,,
474,Đất Nước Tôi,Ya Suy,1,,
475,Liên Khúc Nam Bộ Kháng Chiến – Tiếng Hát Đầu Quân,Tình Ca Việt,1,,
476,Thăm Làng Sen Quê Bác,Lê Tuyền,1,,
477,Bước Chân Trên Dãy Trường Sơn (Version 2005),V.A,1,,
478,Chưa Hết Giặc Ta Chưa Về,Tình Ca Việt,1,,
479,Chiến Đấu Vì Độc Lập Tự Do,"Tiến Thành, Bạch Kim",1,,
480,Bài Ca Hà Nội,BLP,1,,
481,Bài Ca Người Giáo Viên Nhân Dân,Dương Quốc Hưng,1,,
482,Thắp Sáng Lửa Hồng,Tốp Ca,1,,
483,Anh Quân Bưu Vui Tính,F5,1,,
484,Mùa Xuân Của Lính,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
485,Linh Thiêng Việt Nam,Trung Kiên,1,,
486,Tiếng Chày Trên Sóc Bom Bo,"Hương Ly, Hồng Nhung (Dân Ca), Hồng Lụa",1,,
487,Hành Khúc Sư Đoàn 314,V.A,1,,
488,Tuổi Trẻ Thế Hệ Bác Hồ,Tốp Ca CLB Giai Điệu Đỏ,1,,
489,Thênh Thang Đường Mới,Vũ Thắng Lợi,1,,
490,Đêm Nghe Hát Đò Đưa Nhớ Bác,Lê Mận,1,,
491,Tự Hào Người Chiến Sĩ Sư Đoàn 5,Nguyễn Tuấn,1,,
492,Người Đi Xây Hồ Kẻ Gỗ,"Bùi Thắng, Trần Nữ Hạnh",1,,
493,Tổ Quốc Gọi Tên Mình,Đàm Vĩnh Hưng,1,,
494,Mùa Xuân Âm Vang Thần Tốc,Tốp Ca,1,,
495,Vững Bước Dưới Cờ Đảng,CLB Ngôi Sao Trẻ,1,,
496,Đất Nước Tôi Hôm Nay,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
497,Tình Trong Lá Thiếp,"Huỳnh Chín, Thu Hiền (NSND)",1,,
498,Quê Hương Tôi Bà Rịa Vũng Tàu,Nguyễn Tuấn,1,,
499,Thành Phố Xanh Sạch Đẹp,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
500,Bản Tình Ca Cao Nguyên,Tiến Lâm,1,,
501,Đất Nước Trọn Niềm Vui,V.A,1,,
502,"Chào Đại Thắng Mùa Xuân, Chào Việt Nam Vinh Quang",CLB Giai Điệu Trẻ TP Cần Thơ,1,,
503,Tàu Anh Qua Núi (Cover),Nguyễn Phương Hằng,1,,
504,Đất Thiêng,Vũ Thắng Lợi,1,,
505,Khúc Quân Hành Ngành Y Chống Dịch,"Xuân Hảo, Tốp Ca",1,,
506,Đồng Đội Ơi,Lê Trung Hiền,1,,
507,Tiếng Hát Giữa Rừng Pác Bó,Tân Nhàn,1,,
508,Lời Bác Còn Vang,V.A,1,,
509,Đất Nước Trọn Niềm Vui,Vũ Thắng Lợi,1,,
510,Sáng Mãi Ngọn Lửa Trần Văn Ơn,V.A,1,,
511,Một Hai Một Hai Chúng Ta Đi,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
512,Hà Nam Đất Mẹ Anh Hùng,"Tố Uyên, Đức Chính",1,,
513,Hành Khúc Bình Yên (Hát Về Cảnh Sát PCCC & CNCH),Đang Cập Nhật,1,,
514,Nổi Lửa Lên Em,Lương Nguyệt Anh,1,,
515,Lời Bác Dặn Trước Lúc Đi Xa,Lê Mận,1,,
516,Miền Trung Nhớ Bác,Lê Mận,1,,
517,Đảng Đã Cho Ta Một Mùa Xuân,Nguyễn Dũng,1,,
518,Nhớ Mãi Lời Dạy Của Bác,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
519,Chào Em Cô Gái Lam Hồng,Trung Quang,1,,
520,Việt Nam Ơi! Mùa Xuân Đến Rồi,V.A,1,,
521,Giải Phóng Miền Nam,Quốc Hưng (NSND),1,,
522,LK Cô Gái Vót Chông,"Đặng Hồng Nhung, Bùi Ngọc Liên",1,,
523,Nỗi Nhớ Cựu Chiến Binh,V.A,1,,
524,Đêm Ba Mươi Của Mẹ,Công Quang,1,,
525,Quảng Ngãi Khát Vọng Vươn Lên,Nguyễn Tuấn,1,,
526,Hào Khí Việt Nam Cover,Công Phạm,1,,
527,Tiếng Đàn Ta Lư,Lê Ngọc Thúy,1,,
528,Đường Trường Sơn Xe Anh Qua,Lương Nguyệt Anh,1,,
529,Gặp Nhau Giữa Rừng Mơ (Sàn Chiến Giọng Hát),Ưng Linh,1,,
530,Non Sông Ngàn Năm Gấm Vóc,V.A,1,,
531,Đảng Là Cuộc Sống Của Tôi,Anh Thơ,1,,
532,Những Chiến Sĩ Áo Trắng,Minh Quang,1,,
533,Quận 6 Trong Tôi,Nguyễn Tuấn,1,,
534,Chào Em Cô Gái Lam Hồng,Tài Nguyễn,1,,
535,Đất Nước Trọn Niềm Vui,Trung Quang,1,,
536,LK Quốc Ca - Đội Ca,V.A,1,,
537,Tàu Anh Qua Núi,V.A,1,,
538,Gặp Nhau Giữa Rừng Mơ,Đặng Hồng Nhung,1,,
539,Hát Về Hải Dương,Trọng Tấn,1,,
540,Thênh Thang Đường Mới,Lạc Việt,1,,
541,Bài Ca Thống Nhất (Live),Phạm Phương Thảo,1,,
542,Lời Bác Dặn Trước Lúc Đi Xa,Anh Thơ,1,,
543,Lá Cờ Đảng,Khuất Duy Hà Nội,1,,
544,Hành Khúc Chiến Sĩ Biên Phòng,Sao Việt,1,,
545,Niềm Tin Dâng Đảng,Vũ Thắng Lợi,1,,
546,Hoàng Sa Trường Sa Ơi,Huỳnh Lợi,1,,
547,Niềm Tin Dâng Đảng,V.A,1,,
548,Tự Hào Bộ Đội Việt Nam,Hoàng Tuấn Minh,1,,
549,Đất Nước,Thanh Trí,1,,
550,Đường Tôi Đi Dài Theo Đất Nước,Tân Nhàn,1,,
551,Cô Gái Mở Đường Remix,Đăng Hải,1,,
552,Bác Hồ Dạy Cần Kiệm Liêm Chính,"Trọng Tấn, V.A",1,,
553,Bài Ca Thống Nhất,Linh Giang,1,,
554,Trường Sơn Đông Trường Sơn Tây Remix,Đăng Hải,1,,
555,Hành Khúc Lữ Đoàn 185,V.A,1,,
556,Đường Lên Phía Trước,V.A,1,,
557,Tự Hào Chiến Sĩ Ngành Y,"Ngọc Hà, Hải Lê, Tiến Lâm, V.A",1,,
558,Quốc Ca - Quốc Tế Ca,CLB Giai Điệu Trẻ TP Cần Thơ,1,,
559,Em Đi Bộ Đội,V.A,1,,
560,Bác Đang Cùng Chúng Cháu Hành Quân Remix,Đăng Hải,1,,
561,Tàu Anh Qua Núi,Xuân Nguyên,1,,
562,Mùa Xuân Trên Quê Hương,"Bùi Thắng, Kiều Thu Hiên",1,,
563,Hà Nội Huế Sài Gòn,Tân Nhàn,1,,
564,Ta Tự Hào Đi Lên Ôi Việt Nam,Tre Việt,1,,
565,"LK Vết Chân Tròn Trên Cát, Màu Hoa Đỏ",Dương Đức,1,,
566,Khí Phách Việt Nam,Hà Quý,1,,
567,Tự Hào Tiến Bước Dưới Cờ Đảng,V.A,1,,
568,Chào Em Cô Gái Lam Hồng Remix,Đăng Hải,1,,
569,Đường Bốn Mùa Xuân,"Phạm Phương Thảo, Xuân Hảo",1,,
570,Xuân Chiến Khu,Anh Thơ,1,,
571,Vì Nhân Dân Quên Mình,Lạc Việt,1,,
572,Thơ Tình Của Núi,"Bùi Thắng, Giáp Thúy",1,,
573,Tình Anh,Tiến Dũng,1,,
574,Thành Phố Hạnh Phúc,Nguyễn Tuấn,1,,
575,Mùa Xuân Trên Thành Phố Hồ Chí Minh Remix,Đăng Hải,1,,
576,Đoàn Ca,Tốp Ca QK2,1,,
577,Thuyền Em Đi Trong Đêm,Sen Việt,1,,
578,ATK Hồ Chí Minh,Dương Đức,1,,
579,Đất Nước Tình Yêu,Anh Thơ,1,,
580,Lời Bác Sáng Lòng Người Giáo Viên Nhân Dân,Thăng Long Band,1,,
581,Dâng Đảng Quang Vinh,Quang Thái,1,,
582,Đường Tôi Đi Dài Theo Đất Nước,Anh Thơ,1,,
583,Đoàn Vệ Quốc Quân,Lạc Việt,1,,
584,Chiều Biên Giới,Dương Đức,1,,
585,Một Đời Người Một Rừng Cây,Phạm Phương Thảo,1,,
586,Em Là Hoa Pơ Lang (Live),Võ Hạ Trâm,1,,
587,Cung Trầm Biển Sâu,"Phạm Nguyễn, Thu Phương",1,,
588,Khỏe Vì Nước,Hùng Lân,1,,
589,Huyền Thoại Thiếu Niên,"Dương Đức, Phương Diệp",1,,
590,Mùa Xuân,Dương Đức,1,,
591,Sông Lô Chiều Cuối Năm,Sao Mai Trọng Thủy,1,,
592,Gửi Em Ở Cuối Sông Hồng Remix,Đăng Hải,1,,
593,Tháng Ba Tây Nguyên,"Lam Hoa, Bùi Thắng",1,,
594,Bác Hồ Có Một Chuyến Đi,Huyền Trang,1,,
595,Màu Hoa Đỏ,Lê Anh Dũng,1,,
596,Mùa Xuân Lính Đảo,Đông Dương,1,,
597,Tổ Quốc Gọi Tên Mình,Hoàng Tú,1,,
598,Hào Khí Việt Nam,Vũ Thắng Lợi,1,,
599,Đường Trường Sơn Xe Anh Qua,Đăng Hải,1,,
600,Hào Hùng Bạch Đằng Giang,"Tùng Dương, Tốp Ca",1,,
601,Ca Ngợi Hồ Chí Minh,Quang Hà,1,,
602,Chào Em Cô Gái Lam Hồng Remix,"Gia Tiến, Thanh Ngân",1,,
603,Nghĩ Về Người Lính Đảo Xa,Việt Hòa,1,,
604,Cuộc Đời Vẫn Đẹp Sao,V.A,1,,
605,Gặp Nhau Giữa Rừng Mơ,"Hương Thảo, Mạnh Cường",1,,
606,Hồ Chí Minh Đẹp Nhất Tên Người (Live),Cao Minh,1,,
607,Bài Ca May Áo,Thanh Huyền (NSND),1,,
608,Giai Điệu Tổ Quốc,Đình Phong,1,,
609,Cây Lúa Hàm Rồng,Phạm Phương Thảo,1,,
610,Tổ Quốc Bốn Mùa Hoa,Vũ Thắng Lợi,1,,
611,Khúc Quân Hành Người Chiến Sĩ,Đoàn Nghệ thuật Quân Khu 4,1,,
612,Nối Vòng Tay Lớn Remix,Đăng Hải,1,,
613,Thành Phố Thông Minh,Nguyễn Tuấn,1,,
614,Còn Vang Mãi Lời Người,"Nguyễn Tuấn, Nhật Nam",1,,
615,Năm Anh Em Trên Một Chiếc Xe Tăng Remix,Đăng Hải,1,,
616,Người Đi Xây Hồ Kẻ Gỗ,"Bùi Thắng, Phạm Định",1,,
617,Tình Ca Người Thợ Mỏ,"Anh Thơ, Hoàng Tùng",1,,
618,Bài Ca Người Phụ Nữ Quân Đội,CLB Ngôi Sao Trẻ,1,,
619,Bài Ca Kết Đoàn,V.A,1,,
620,Bài Ca Người Giáo viên Nhân Dân,Sỹ Quý,1,,
621,Người Trẻ Tuổi,V.A,1,,
622,Bài Ca Người Thanh Niên Tình Nguyện Chống Dịch,Đức Chiến,1,,
623,Vết Chân Tròn Trên Cát,Bùi Thắng,1,,
624,Hà Tây Quê Lụa,Bùi Thắng,1,,
625,Qua Miền Tây Bắc,V.A,1,,
626,Chúng Con Hát Về Người Hồ Chí Minh,Trọng Tấn,1,,
627,Bóng Cây Kơ Nia,Trần Hoa,1,,
628,Màu Hoa Đỏ Remix,Đăng Hải,1,,
629,Dòng Máu Việt Nam,Quang Hà,1,,
630,Cô Gái Mở Đường,"Linh Giang, Kim Tuyên, Hồng Cẩm",1,,
631,"LK Quốc Ca, Đoàn Ca",V.A,1,,
632,Tổ Quốc Gọi Tên Mình,Phan Mạnh Thắng,1,,
633,Đất Nước Tình Yêu,V.A,1,,
634,Ninh Bình Quê Em,Thu Hà,1,,
635,Anh Ở Đầu Sông Em Cuối Sông Remix,Đăng Hải,1,,
636,Hát Mãi Khúc Quân Hành Remix,Đăng Hải,1,,
637,Con Gái Mẹ Nay Đã Thành Chiến Sĩ,V.A,1,,
638,Thành Phố An Toàn Giao Thông,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
639,Đất Nước Trọn Niềm Vui,Lê Văn Lộc,1,,
640,Việt Nam Hào Hùng,Lâm Chấn Huy,1,,
641,Mẹ Việt Nam Anh Hùng,Ngọc Ký,1,,
642,Mãi Mãi Việt Nam,"Lạc Việt, Mắt Ngọc",1,,
643,Trái Tim Người Chiến Sĩ,Bảo Trâm,1,,
644,Chiếc Gậy Trường Sơn,Đình Hội,1,,
645,Vinh Quang Tổ Quốc Việt Nam,V.A,1,,
646,Cô Gái Sài Gòn Đi Tải Đạn,Thanh Huyền (NSND),1,,
647,Tuổi Xuân Dâng Đảng,Lạc Việt,1,,
648,Chiến Sĩ Việt Nam,Lạc Việt,1,,
649,Lăm Tơi,Hồng Vy,1,,
650,Cúc Ơi,Vũ Thắng Lợi,1,,
651,Thúc Quân,Vô Danh Thị,1,,
652,Tiếng Hát Trên Đường Quê Hương,"Phạm Phương Thảo, Xuân Hảo",1,,
653,Em Ở Nơi Đâu,Vũ Thắng Lợi,1,,
654,"Trường Sơn Đông, Trường Sơn Tây","Quốc Hưng (NSND), Lan Anh",1,,
655,Việt Nam Non Nước Tôi,Lạc Việt,1,,
656,Những Ánh Sao Đêm,Hoàng Lang,1,,
657,Chào Sông Mã Anh Hùng,Anh Thơ,1,,
658,Nam Quốc Sơn Hà Trên Biển,V.A,1,,
659,Giải Phóng Miền Nam,Lạc Việt,1,,
660,Chiều Xuân Trên Biên Cương,Lê Ngọc Thúy,1,,
661,Công Nhân Trên Chặng Đường Mới,Lạc Việt,1,,
662,Linh Thiêng Việt Nam,Hoàng Tú,1,,
663,Biển Hát Chiều Nay,Bảo Trâm,1,,
664,Màu Hoa Đỏ,Hương Tràm,1,,
665,Chào Em Cô Gái Lam Hồng,Bùi Thắng,1,,
666,Nam Bộ Kháng Chiến,Lạc Việt,1,,
667,Đường Bốn Mùa Xuân,"Minh Huê, Ngọc Bính",1,,
668,Đường Chúng Ta Đi,Tre Việt,1,,
669,Chiều Biên Giới,"Giáp Thúy, Bùi Thắng",1,,
670,Cùng Hành Quân Giữa Mùa Xuân,Dương Đức,1,,
671,Tự Hào Hai Tiếng Việt Nam,Lê Xuân Hảo,1,,
672,Lá Xanh,Tốp Ca CLB Giai Điệu Đỏ,1,,
673,Tấm Áo Chiến Sĩ Mẹ Vá Năm Xưa,Trung Quang,1,,
674,Tấc Đất Thành Cổ,Công Quang,1,,
675,Việt Nam Độc Lập Tự Do,Quang Hà,1,,
676,Sợi Nhớ Sợi Thương,"Duy Phường, Thanh Nhàn",1,,
677,Hào Khí Việt Nam,"Huy Phạm, Long Thành, Hùng Trọng, V.A",1,,
678,Ta Dâng Đảng Ngàn Tiếng Ca,Vũ Thắng Lợi,1,,
679,Bài Ca Trường Sơn,Huy Hoàng,1,,
680,Chiến Sĩ Hành Quân Xanh,Black Eyes,1,,
681,Người Chiến Sĩ Tàu Ngầm,Nguyễn Phi Hùng,1,,
682,Tình Yêu Lính Đảo,Hồng Thắm,1,,
683,Biết Ơn Chị Võ Thị Sáu,V.A,1,,
684,Lá Cờ Đảng,Tốp Ca Nam Nữ K46,1,,
685,Cung Đàn Mùa Xuân Remix,Đăng Hải,1,,
686,Giai Điệu Tổ Quốc,Quốc Hưng (NSND),1,,
687,Em Tiễn Anh Đi Giữa Mùa Xuân,Anh Thơ,1,,
688,Xa Khơi,Hạnh Vy,1,,
689,Hào Khí Hùng Vương,Lạc Việt,1,,
690,Việt Nam Ơi Mùa Xuân Đến Rồi,Tre Việt,1,,
691,Ca Ngợi Hồ Chủ Tịch,Huy Vĩnh,1,,
692,Hậu Cần Khu 4 Làm Theo Lời Bác,V.A,1,,
693,Những Ánh Sao Đêm,Hiền Anh,1,,
694,Bài Ca Kiểm Soát Nhiễm Khuẩn,Lệ Thủy (NSND),1,,
695,Ta Tự Hào Đi Lên Ôi Việt Nam,Vũ Thắng Lợi,1,,
696,Đêm Trường Sơn Nhớ Bác,Thăng Long Band,1,,
697,Hát Về Anh Người Trinh Sát Ngoại Tuyến,Thanh Tuấn,1,,
698,Bài Ca Hy Vọng,Khánh Linh,1,,
699,Chúng Con Canh Giấc Ngủ Cho Người,Mạnh Quân,1,,
700,Những Cô Gái Đồng Bằng Sông Cửu Long,Xuân Thanh,1,,
701,Quân Reo Quê Mẹ Quảng Trị Anh Hùng,Lương Nguyệt Anh,1,,
702,Cung Đàn Mùa Xuân,Việt Hoàng,1,,
703,Bài Ca Trường Sơn,Dương Đức,1,,
704,Chiến Sĩ Trường Sa,Hà Quý,1,,
705,Chút Tình Lính Đảo,Tre Việt,1,,
706,Sa Pa Nơi Gặp Gỡ Đất Trời,Sao Mai Trọng Thủy,1,,
707,Biết Ơn Chị Võ Thị Sáu Remix,"Gia Tiến, Thanh Ngân",1,,
708,Bài Ca Tuổi Trẻ Quê Chung,V.A,1,,
709,Tiếng Hát Trên Đảo Hòn Mê,Mạnh Cường,1,,
710,Cho Những Con Tàu Ra Khơi,"Nguyễn Văn Hiên, CLB Ngôi Sao Trẻ",1,,
711,Trên Công Trường Rộn Tiếng Ca,"Ánh Nguyệt, Bùi Thắng",1,,
712,"LK Bài Ca Hồ Chí Minh, Hồ Chí Minh Ngọn Cờ Hòa Bình",Tre Việt,1,,
713,Về Điện Biên Cùng Anh,V.A,1,,
714,Chào Thành Phố Tây Ninh Anh Hùng,Võ Thành Tâm,1,,
715,Hãy Yên Lòng Mẹ Ơi,Hoàng Tú,1,,
716,Cô Gái Sầm Nưa,Quốc Hưng (NSND),1,,
717,Hào Khí Bạch Đằng Giang,Đức Tuấn,1,,
718,Hành Khúc Ngày Và Đêm,Sỹ Ben,1,,
719,Những Bông Hoa Mùa Xuân,V.A,1,,
720,Chiều Hải Cảng,Lạc Việt,1,,
721,Trường Sơn Đông Trường Sơn Tây,"Từ Như Tài, Ngọc Liên",1,,
722,Hải Phòng Bài Thơ Biển,Thảo Vân,1,,
723,Đường Bốn Mùa Xuân,"Trọng Khải, Thanh Nhàn",1,,
724,Bác Hồ Tình Yêu Bao La,Tuýnh Nhật Minh,1,,
725,Bản Tình Ca Ngành Điện,Đình Hội,1,,
726,Việt Nam Ơi! Tiếng Gọi Thiêng Liêng,V.A,1,,
727,Kỷ Niệm Mối Tình Đầu,Huỳnh Chín,1,,
728,Bài Ca Bên Cánh Võng,Duy Phường,1,,
729,Ngời Ánh Mặt Trời,"Lê Tín, Tấn Sang, Cát Phương",1,,
730,Gửi Em Ở Cuối Sông Hồng,"Duy Phường, Huệ Linh",1,,
731,Lai Châu Nhớ Mãi Ơn Người,Anh Thơ,1,,
732,Đường Chúng Ta Đi,"Khanh Hoàng, Đức Toàn, Lê Thái",1,,
733,Vâng Lời Bác Dạy,V.A,1,,
734,Bài Ca Người Lính,Vũ Thắng Lợi,1,,
735,15 Bài Hát Quy Định Của Tổng Cục Chính Trị QĐNNVN,V.A,1,,
736,Dấu Chân Phía Trước,Quốc Hưng (NSND),1,,
737,Đất Nước Lời Ru,Sen Việt,1,,
738,Qua Miền Tây Bắc,Việt Hoàng,1,,
739,Tình Đồng Chí,Vũ Thắng Lợi,1,,
740,Mẹ Việt Nam Anh Hùng,Lạc Việt,1,,
741,Bình Dương - Thị Trấn Trong Tôi,Nguyễn Trung Tín,1,,
742,Tổ Quốc Tôi Chưa Đẹp Thế Bao Giờ,Phan Mạnh Thắng,1,,
743,Quốc Ca,V.A,1,,
744,Tổ Quốc Tôi Chưa Đẹp Thế Bao Giờ,Trung Quang,1,,
745,Tổ Quốc Mẹ Hiền,Huỳnh Lợi,1,,
746,Quê Em Miền Trung Du,Tô Trung Hiếu,1,,
747,Tổ Quốc Gọi Tên Mình,Nguyễn Phi Hùng,1,,
748,Vào Đời,"Huyền Trang, Minh Vương (NSND)",1,,
749,Hồ Trên Núi Remix,"Gia Tiến, Thanh Ngân",1,,
750,Bên Lăng Bác Hồ,Anh Thơ,1,,
751,Hành Trang Của Người Lính Đảo,Hiếu Thành,1,,
752,Lời Người Ra Đi,Duy Phường,1,,
753,Hành Khúc Hải Quân Đánh Bộ Lữ Đoàn 147,V.A,1,,
754,Gần Lắm Trường Sa,"Duy Phường, Tường Vi",1,,
755,Chúng Con Canh Giấc Ngủ Cho Người (New Version),Bùi Thắng,1,,
756,Ngọn Đèn Đứng Gác,Anh Thơ,1,,
757,Nơi Đảo Xa,Trọng Thủy,1,,
758,Hồn Thiêng Đất Việt,Lạc Việt,1,,
759,Trường Sơn 559,V.A,1,,
760,Tuổi Xuân Dâng Đảng,V.A,1,,
761,Chiều Matxcova,Lạc Việt,1,,
762,Tình Anh Lính Biên Cương,Quang Nghị,1,,
763,Đường Trường Sơn Xe Anh Qua,"Phi Hùng, V.A",1,,
764,Cô Gái Thông Đường Trên Biên Giới Tây Nam,Lạc Việt,1,,
765,Người Là Bác Tôn,"Tân Nhàn, Ngọc Ký",1,,
766,Hố Đen Giữa Biển Đông,"Bảo Huy, Anh Thúy",1,,
767,Tình Em,Trung Kiên,1,,
768,Ngọn Lửa Thanh Niên Xung Phong,V.A,1,,
769,Mẹ Tôi Live,"Trọng Tấn, Anh Thơ",1,,
770,Trái Tim Người Chiến Sĩ,Tốp Ca QK2,1,,
771,Đất Quê Ta Mênh Mông,Tre Việt,1,,
772,"LK Đất Reo Ngày Thống Nhất, Tiếng Hát Thành Phố Mang Tên Người",Tre Việt,1,,
773,Nơi Đảo Xa,Hoàng Nam,1,,
774,Bài Ca Thống Nhất,"Khánh Huyền, Minh Sơn",1,,
775,Việt Nam In Dấu Năm Châu,Ngọc Quý,1,,
776,Người Thầy Giáo Mang Quân Hàm Xanh,Lạc Việt,1,,
777,Lời Bác Dặn Trước Lúc Đi Xa,"Phi Hùng, Kim Cúc",1,,
778,Có Một Vì Sao Trong Tim,"Lê Minh Đức, Trường Thư",1,,
779,Tự Hào Là Cựu Chiến Binh,Minh Đức,1,,
780,Mời Bạn Về Thăm Quê Tôi,Thanh Sang,1,,
781,"Vinh Quang, Ơi Việt Nam",Tốp Ca,1,,
782,Việt Bắc Nhớ Bác Hồ,Tốp Ca Nam Nữ K46,1,,
783,Có Tuổi 20 Thành Sóng Nước,Huyền Trang,1,,
784,Lời Người Ra Đi,Đoàn Ngọc Ánh,1,,
785,Tiến Bước Dưới Quân Kỳ,Lạc Việt,1,,
786,Bâng Khuâng Trường Sa,Quốc Hưng (NSND),1,,
787,Chiếc Gậy Trường Sơn,Đăng Hải,1,,
788,Về Làng Sen,Trọng Tấn,1,,
789,Trường Ca Sông Lô,Quốc Hưng (NSND),1,,
790,X52 Khúc Hát Tự Hào,V.A,1,,
791,Màu Hoa Đỏ,Hương Liên,1,,
792,Hành Khúc Thanh Niên Họ Đặng Việt Nam,V.A,1,,
793,Nơi Đảo Xa,Vũ Tiến Lâm (NSƯT),1,,
794,Mẹ Việt Nam Anh Hùng,Việt Hoàng,1,,
795,Đường Về Thanh Hóa,Hoài Thương,1,,
796,Trên Đỉnh Trường Sơn Ta Hát,Phi Hùng,1,,
797,Tổ Quốc Yêu Thương,Quốc Hưng (NSND),1,,
798,Nơi Đảo Xa,Duy Phường,1,,
799,Ngưởi Giỏi Chăn Nuôi,Anh Thơ,1,,
800,Hát Về Anh,Lạc Việt,1,,
801,Bác Hồ Một Tình Yêu Bao La,Hồng Cẩm,1,,
802,Tìm Anh Nơi Biên Giới,Thu Trang,1,,
803,Tổ Quốc Gọi Tên Mình,Sao Mai Trọng Thủy,1,,
804,Tự Hào Chiến Sĩ Miền Đông,Thanh Tuấn,1,,
805,Khúc Nhớ Đồng Đội,Vũ Tiến Lâm (NSƯT),1,,
806,Bài Ca Dân Quân,Châu Thùy Dương,1,,
807,Người Đi Xây Hồ Kẻ Gỗ,"Quỳnh Như, Quang Diễn",1,,
808,Khúc Tráng Ca Truông Bồn,"Thanh Nga, Huỳnh Lợi",1,,
809,Màu Hoa Đỏ,Duy Phường,1,,
810,Bài Ca Bên Cánh Võng,Bùi Thắng,1,,
811,Anh Người Chiến Sỹ An Ninh,Trần Thanh Thủy,1,,
812,Bà Mẹ Gạc Ma,Thế Hùng,1,,
813,Đêm Trường Sơn Nhớ Bác,Hữu Trung,1,,
814,Thăm Lại Truông Bồn,Vũ Thắng Lợi,1,,
815,Anh Lính Tình Nguyện Và Điệu Múa Apsara,Bùi Thắng,1,,
816,Lá Cờ Đảng,Quốc Hưng (NSND),1,,
817,"Trường Sơn Đông, Trường Sơn Tây",Kiều Hưng (NSƯT),1,,
818,Tấm Áo Chiến Sĩ Mẹ Vá Năm Xưa,Dương Đức,1,,
819,Có Những Tuổi 20 Như Thế,Lạc Việt,1,,
820,Hành Khúc Tuổi Trẻ Lữ Đoàn 681,"Nguyễn Văn Chung, K3",1,,
821,Tuổi Trẻ Hôm Nay,Tre Việt,1,,
822,Tôi Yêu Tổ Quốc Tôi,Hà Thế Dũng,1,,
823,Đường Chúng Ta Đi,V.A,1,,
824,Tìm Anh,Thanh Danh,1,,
825,Tự Nguyện,"Anh Thơ, Quỳnh Anh",1,,
826,Đêm Trường Sơn Nhớ Bác,Lạc Việt,1,,
827,Hào Khí Lạc Việt,Đỗ Hữu Vị,1,,
828,Đâu Đảng Cần Chúng Ta Có Mặt,CLB Giai Điệu Trẻ TP Cần Thơ,1,,
829,Tự Hào Lạng Giang Anh Hùng,Cảnh Tình,1,,
830,Việt Nam Ơi Mùa Xuân Đến Rồi,Lạc Việt,1,,
831,Sơn La Đón Bác Hồ Về,Tân Nhàn,1,,
832,Những Bông Hoa Trong Vườn Bác,V.A,1,,
833,Hà Nội Niềm Tin Và Hy Vọng,Xuân Trần,1,,
834,Vui Mùa Chiến Thắng,Bích Lại,1,,
835,Khúc Quân Hành Áo Trắng,Tốp Ca,1,,
836,Lời Người Vọng Vang,Tùng Dương,1,,
837,Đất Nước,Vũ Ngọc,1,,
838,Tre Việt Nam,Tre Việt,1,,
839,Vọng Vườn Châu,Tùng Dương,1,,
840,Hát Về Anh Người Trinh Sát Ngoại Tuyến,Trần Thanh Thủy,1,,
841,Chung Sức Chung Lòng,V.A,1,,
842,Tuổi Xuân Dâng Đảng,Trần Minh Tuấn,1,,
